beta,gamma,R0,peak_day,peak_infected,peak_prevalence,final_size,max_incidence
0.1,0.05,2.0,135.0,1539.253941913178,0.15392539419131782,0.5246026772268624,87.90422158121783
0.1,0.1,1.0,0.0,10.0,0.001,0.015236296173509058,0.99889844536483
0.1,0.15000000000000002,0.6666666666666666,0.0,10.0,0.001,0.002987123832784048,0.9743386336103868
0.1,0.2,0.5,0.0,10.0,0.001,0.001997007096015806,0.9505799025409942
0.1,0.25,0.4,0.0,10.0,0.001,0.001665187284604848,0.9275910435262631
0.1,0.3,0.33333333333333337,0.0,10.0,0.001,0.0014990634279062208,0.9053408473810123
0.15000000000000002,0.05,3.0000000000000004,77.0,3007.6778236128716,0.30076778236128715,0.9149687795723604,207.67674705796435
0.15000000000000002,0.1,1.5000000000000002,114.0,636.9009285322592,0.06369009285322591,0.4969353654799175,66.642175713504
0.15000000000000002,0.15000000000000002,1.0,0.0,10.0,0.001,0.021706847117970007,1.4982696412480436
0.15000000000000002,0.2,0.7500000000000001,0.0,10.0,0.001,0.00396917343939407,1.4614331208831572
0.15000000000000002,0.25,0.6000000000000001,0.0,10.0,0.001,0.002493465915430582,1.4257980677448359
0.15000000000000002,0.3,0.5000000000000001,0.0,10.0,0.001,0.0019970073231232997,1.391317676549079
0.2,0.05,4.0,54.0,4035.9623818431737,0.4035962381843174,0.9741322290825533,330.70584891077397
0.2,0.1,2.0,68.0,1538.8367242424802,0.15388367242424802,0.7942027197480039,175.78532020504372
0.2,0.15000000000000002,1.3333333333333333,100.0,349.88603907967615,0.03498860390796762,0.4214461532434847,53.68590967306227
0.2,0.2,1.0,0.0,10.0,0.001,0.027121216656223083,1.9975871659626137
0.2,0.25,0.8,0.0,10.0,0.001,0.004939833544213859,1.9484761495623388
0.2,0.3,0.6666666666666667,0.0,10.0,0.001,0.002988081023494701,1.9009668813832832
0.25,0.05,5.0,42.0,4781.654820335858,0.4781654820335858,0.9903727166767611,454.02607443449597
0.25,0.1,2.5,49.0,2338.3202845585447,0.23383202845585446,0.8925668726764132,293.99942801832094
0.25,0.15000000000000002,1.6666666666666665,62.0,940.7167454666507,0.09407167454666507,0.675763675642078,151.70903691696276
0.25,0.2,1.25,90.0,222.8443121483289,0.022284431214832888,0.35776898813604247,45.181647643170436
0.25,0.25,1.0,0.0,10.0,0.001,0.03146447796089347,2.4968497802619822
0.25,0.3,0.8333333333333334,0.0,10.0,0.001,0.005896641132496958,2.435466541151982
0.30000000000000004,0.05,6.000000000000001,35.0,5347.8732051448005,0.5347873205144801,0.9958630253675359,578.1768557506448
0.30000000000000004,0.1,3.0000000000000004,38.0,3006.2265257793815,0.30062265257793813,0.940516135867337,414.6295247663338
0.30000000000000004,0.15000000000000002,2.0,45.0,1539.2538462954938,0.15392538462954938,0.7971286189610015,263.6184064133804
0.30000000000000004,0.2,1.5000000000000002,57.0,636.9009288242141,0.06369009288242142,0.5836840482100697,133.257313238817
0.30000000000000004,0.25,1.2000000000000002,81.0,155.65004088587222,0.015565004088587221,0.30881837923344246,39.273229551423356
0.30000000000000004,0.3,1.0000000000000002,0.0,10.0,0.001,0.034832572033208546,2.996056245485306
0.35,0.05,6.999999999999999,30.0,5788.962554981223,0.5788962554981223,0.9978941025460237,702.5175111966482
0.35,0.1,3.4999999999999996,32.0,3565.021602901186,0.3565021602901186,0.9660134690968484,536.3990889015386
0.35,0.15000000000000002,2.333333333333333,36.0,2086.682580376326,0.2086682580376326,0.868261021176573,380.81914482068896
0.35,0.2,1.7499999999999998,42.0,1093.3922596463728,0.10933922596463728,0.7132697462137456,238.31736659078524
0.35,0.25,1.4,53.0,460.86956301233977,0.046086956301233974,0.5124523176788143,118.84920273534772
0.35,0.3,1.1666666666666667,74.0,115.85194180082024,0.011585194180082024,0.2712040779458629,34.98468020768996
0.4,0.05,8.0,26.0,6150.942883793795,0.6150942883793795,0.9986983921922501,825.3769813077251
0.4,0.1,4.0,27.0,4035.947102035174,0.4035947102035174,0.9801901027420284,659.3123793667573
0.4,0.15000000000000002,2.6666666666666665,30.0,2574.6514443989577,0.25746514443989577,0.9122958831039432,500.0875710644659
0.4,0.2,2.0,34.0,1538.8373022876578,0.15388373022876578,0.7971538517393194,351.2854092901898
0.4,0.25,1.6,40.0,818.7160204258493,0.08187160204258492,0.6428159978168344,217.45447722602603
0.4,0.3,1.3333333333333335,50.0,349.8860373336812,0.03498860373336812,0.4563342243665016,107.33052580060121
0.45000000000000007,0.05,9.0,23.0,6448.407283133662,0.6448407283133661,0.9990433493038189,944.3051907722956
0.45000000000000007,0.1,4.5,24.0,4435.243977032163,0.4435243977032163,0.9883000339899327,781.3396642813696
0.45000000000000007,0.15000000000000002,3.0,26.0,3002.448092511435,0.3002448092511435,0.9405519515079271,621.5381491338521
0.45000000000000007,0.2,2.25,28.0,1954.626291055585,0.1954626291055585,0.8536408920129895,468.21455924023303
0.45000000000000007,0.25,1.8000000000000003,32.0,1184.3134842993397,0.11843134842993397,0.7329453736805134,325.5490690105098
0.45000000000000007,0.3,1.5000000000000002,38.0,636.9009289481223,0.06369009289481223,0.5839224788994051,199.7180686522297
0.5,0.05,10.0,21.0,6691.770818401159,0.6691770818401159,0.999207989761096,1064.3482488655245
0.5,0.1,5.0,21.0,4781.586890937418,0.47815868909374176,0.9930284935377622,906.8236490982263
0.5,0.15000000000000002,3.333333333333333,22.0,3382.2060246084507,0.33822060246084507,0.9591646325980906,744.0461909660917
0.5,0.2,2.5,24.0,2335.1945449411664,0.23351945449411665,0.8927912177903637,586.5771843045086
0.5,0.25,2.0,27.0,1539.2532349694516,0.15392532349694515,0.7971540264957228,438.69085742236894
0.5,0.3,1.6666666666666667,31.0,940.7171659811283,0.09407171659811284,0.6764608894943683,303.02775527648555
